date,high,low,close
2001-12-18,122.9700,121.3500,122.2000
2001-12-19,124.7000,121.0100,123.8900
2001-12-20,124.0000,122.1500,122.7000
2001-12-21,123.5000,121.7100,122.0000
2001-12-24,122.4800,121.1000,121.4500
2001-12-26,123.7000,121.8100,122.4000
2001-12-27,123.9300,122.6400,123.5000
2001-12-28,123.8800,122.3500,122.9000
2001-12-31,123.2400,120.9500,120.9600
2002-01-02,121.5000,119.8000,121.5000
2002-01-03,124.2200,120.2500,123.6600
2002-01-04,125.6000,123.9800,125.6000
2002-01-07,126.1900,123.7000,124.0500
2002-01-08,125.2000,123.7300,124.7000
2002-01-09,126.3900,124.1500,124.4900
2002-01-10,124.0000,121.4200,122.1400
2002-01-11,122.1800,120.2800,120.3100
2002-01-14,120.0900,117.1000,118.0500
2002-01-15,119.7000,117.7200,118.8500
2002-01-16,118.7500,117.2500,117.4000
2002-01-17,120.5500,117.2600,119.9000
2002-01-18,114.9000,112.8100,114.2500
2002-01-22,114.2600,110.3300,110.5000
2002-01-23,111.2500,107.0000,107.9000
2002-01-24,109.7300,107.0700,108.7200
2002-01-25,110.6900,108.1000,109.2800
2002-01-28,110.2100,107.0600,108.1500
2002-01-29,108.5600,102.4100,103.0000
2002-01-30,105.7500,101.0000,105.5500
2002-01-31,107.9800,104.4600,107.8900
2002-02-01,109.3000,106.6400,108.0000
2002-02-04,108.0000,105.9900,106.8000
2002-02-05,108.5000,106.0000,106.3000
2002-02-06,107.8200,105.3300,106.6300
2002-02-07,107.0000,103.8600,103.9100
2002-02-08,105.7200,102.6100,104.9900
2002-02-11,107.6900,104.5100,107.3800
2002-02-12,107.8900,106.0600,106.5700
2002-02-13,108.4800,106.1200,108.0700
2002-02-14,109.1500,107.2000,107.8900
2002-02-15,104.8000,101.7000,102.8900
2002-02-19,101.8000,98.8600,101.3000
2002-02-20,100.0000,97.0000,99.3100
2002-02-21,99.7000,96.0100,96.3800
2002-02-22,99.2000,95.7600,98.4500
2002-02-25,99.2500,97.1200,98.3000
2002-02-26,99.1900,95.9900,97.1500
2002-02-27,100.3100,96.7000,97.8300
2002-02-28,99.6000,97.8200,98.1200
2002-03-01,103.1000,98.5000,103.0200
2002-03-04,106.5300,103.1300,105.9000
2002-03-05,106.5000,104.1600,105.6700
2002-03-06,107.0900,104.7500,106.3000
2002-03-07,107.5000,103.2400,103.7100
2002-03-08,107.3400,104.8200,105.0900
2002-03-11,105.9700,103.6000,105.2400
2002-03-12,108.8500,105.5100,108.5000
2002-03-13,108.6500,106.7000,107.1800
2002-03-14,107.9500,106.5900,106.6000
2002-03-15,107.4500,105.5900,106.7900
2002-03-18,108.6400,106.2300,106.3500
2002-03-19,108.0500,106.4900,107.4900
2002-03-20,106.9000,105.4900,105.5000
2002-03-21,106.7800,104.7000,106.7800
2002-03-22,106.7000,105.0700,105.6000
2002-03-25,106.6600,103.5000,103.5600
2002-03-26,105.7000,102.3000,102.9000
2002-03-27,103.7900,102.5000,103.3900
2002-03-28,105.1400,103.3900,104.0000
2002-04-01,104.0000,102.4000,102.8600
2002-04-02,102.0100,100.5100,100.9500
2002-04-03,101.5000,98.9000,99.9600
2002-04-04,101.1400,99.5000,100.8400
2002-04-05,101.2500,97.2500,97.2500
2002-04-08,88.5900,85.3500,87.4100
2002-04-09,88.5200,87.1000,87.7400
2002-04-10,89.9500,88.2000,89.0100
2002-04-11,88.5100,83.3400,84.1900
2002-04-12,87.9600,84.4000,85.6000
2002-04-15,86.6000,84.7000,85.3500
2002-04-16,86.8500,85.5800,86.2000
2002-04-17,87.2000,84.0000,84.8100
2002-04-18,89.1000,86.9000,88.9500
2002-04-19,90.0300,87.6000,89.0000
2002-04-22,88.9500,87.3600,87.9300
2002-04-23,89.0800,87.2400,87.3300
2002-04-24,88.2500,86.2700,86.5000
2002-04-25,86.9200,85.7700,86.7100
2002-04-26,86.9600,84.7000,84.7100
2002-04-29,85.1000,83.5500,83.8900
2002-04-30,85.2300,83.5300,83.7600
2002-05-01,84.6500,81.6700,84.3000
2002-05-02,84.8000,83.1300,83.8600
2002-05-03,83.5000,81.1100,81.7800
2002-05-06,81.8700,76.0000,76.0000
2002-05-07,77.5000,75.9200,76.5000
2002-05-08,82.8000,78.2000,82.4500
2002-05-09,83.0000,79.0000,79.9300
2002-05-10,80.5000,79.2500,79.6800
2002-05-13,82.2900,79.5000,82.1900
